,Character,Lines,no_sentences,no_words
134,Janice,"['Oh, my god, I am so glad you called me.', 'I had the most supremely awful day.', 'We got the proofs back from that photo shoot, you know, the one with the little vegetables.', 'Anyway, they pretty much sucked, so, I blew off the rest of the day, and I went shopping...', 'What?', 'I got you...these.', 'Well, I knew you had the Rockys, and so I figured, you know, you can wear Bullwinkle and Bullwinkle, or you can wear Rocky and Rocky,or, you can mix and match, moose and squirrel.', 'Whatever you want.', 'All right.', 'Well, there you go.', 'Ow!', 'Ow.', ""Um, it's just my lens."", ""It's just my lens."", ""I'll be right back."", 'I love this artichoke thing!', ""Oh, don't tell me what's in it, the diet starts tomorrow!"", 'Here, Ross, take our picture.', 'Oh, no.', 'Oh, no.', 'Oh my God.', 'You listen to me, Chandler, you listen to me.', 'One of these times is just gonna be your last chance with me.', 'Oh.... my.... God.', 'By the way, Chandler.', 'I cut you out of all my pictures.', 'So if you want, I have a bag with just your heads.', 'Oh, are you sure?', 'Really?', 'Because you know, you could make little puppets out of them, and you could use them in your theater of cruelty.', 'Just us.', ""Although, I have enjoyed the fact that, uh your shirt's been stickin' outta your zipper ever since you came back from the bathroom."", 'So, do we have the best friends or what?', 'I will go for that drink.', 'Each.', ""Happy Valentine's Day!"", 'Oh, I miss you already.', 'Can you believe this happened?', 'Kiss me!', 'Hi, Monica.', 'This is so fun.', 'This is like a reunion in the hall.', 'Hi, Ross.', ""Yes, it's me."", 'How did you know?', 'Hello, funny Valentine.', 'Hello, Joey, our little matchmaker.', ""I could just kiss you all over, and I'm gonna!"", 'I brought you something.', 'I had them made special.', ""That's fine."", 'Mmm', ""No, it isn't, because you won't let that happen."", ""Don't you know it yet?"", 'You love me, Chandler Bing.', 'Well then ask yourself this.', 'Why do you think we keep ending up together?', ""New Year's?"", 'Who invited who?', ""Valentine's?"", 'Who asked who into whose bed?', 'You seek me out.', 'Something deep in your soul calls out to me like a foghorn.', 'Janice, Janice.', 'You want me.', 'You need me.', ""You can't live without me."", 'And you know it.', ""You just don't know you know it."", 'See ya.', 'Oh, I wish.', 'Look, honey, you have that report to finish, and I gotta go see my lawyer.', ""I'll see you later, sweetie."", 'Bye Joey.', 'So, I hear, you hate me!', 'A little birdie told me something about you wanting to rip your arm off and throw it at me.', ""All right, fine, fine, fine, fine, fine, we've got to do something about our little situation here Joey."", 'So, this is my idea', 'For Chandler!', 'Okay.', 'All right.', ""This is what we're gonna call it"", ""Yes, because that's how long it takes to love me."", ""We're baack!"", ""Joey and Janice's"", 'I just came by to give you a kiss, I have to go pick up the baby, so.', ""I'll see you later sweetheart, you too Chandler."", 'Night', 'Oh.', 'God, crazy Chandler.', 'He spun me...off...the...bed!', 'Oh,', 'You know what, where he hugs you and kinda rolls you away and... Oh... my....God.', ""Well, let's go to a bad one and make out."", 'What is the great tragedy here?', 'You go get yourself another appointment.', 'So, how come you wanted to eat in tonight?', 'Ohhh, are you a puppy!', ""Oh, you didn't have to do this."", 'Well, I gotta buy a vowel.', 'Because, oh my Gawd!', ""Who, would've thought that someday, Chandler Bing would buy me a drawer."", 'We should?', 'You probably want us to move in together?', 'Yeah, well, it scares me!', 'I mean I not even divorced yet, Chandler.', ""You know, you just invited me over here for pasta, and all of the sudden you're talking about moving in together."", ""And, and I wasn't even that hungry."", ""You know what, it's getting a little late, and I"", 'What are you doing here?', 'Are you being British?', '!', 'Why are you shopping here?', ""You don't live in this neighborhood."", 'Were you here waiting for me?', 'Barley?', 'What kind of party serves barley?', 'Where is this party?', ""Who's party is it?"", 'What woman?', '!', 'Okay, you know, one of two things is happening here.', ""Either you're seeing somebody behind my back, which would make you the biggest jerk on the planet."", ""Or, else you're pretending that you're seeing somebody, which just makes you so pathetic that I could start crying right here in the cereal aisle."", 'So like which of these two guys do you want to be?', 'Janice has a question.', 'Who of the six of you has sleep with the six of you?', ""Come on over the years none of you ever y'know, got drunk and stupid."", 'I', 'Okay, okay, well then answer me this.', 'Has any of you ever.... almost?', 'Wait!', 'Wait!', 'I wanna see this.', 'After I divorce him, half of that kingdom is gonna be mine.', 'Oh, I cannot believe he', 'Oh my God.', 'Why are your eyes so white?', 'Oh my God!', '!', 'How did you know?', 'In the park?', 'Just those two!', 'Oh, I', 'The receipt.', 'I don', 'Okay.', 'Wow!', 'Oh!', 'You', 'What?', 'No, you were right, you were right.', 'I mean, I', 'No, I', 'Honey, honey, people are looking.', 'Yeah, um, I', 'Good', 'Oh well, I', 'Yeah, I', 'I just came up to say,', 'Bye.', 'Bye.', 'Bye.', 'Bye', 'Oh boy, I just love to sing!', 'Oh, look at us!', 'Who would', 'I know!', 'And I', 'Oh, too soon, too schmoon.', 'Face it honey, I am not letting you get away this time.', 'Oh no!', 'Where to?', 'Too London?', 'No', 'When?', 'Ugh, well I will just have to soak up every once of Chandler Bing until that moment comes.', 'Ohh, well when you said all you were going to be doing between now and the time you leave is packing, you didn', 'Okay, Chandler, come on!', 'Oh please.', 'Every moment is precious.', 'Y', 'On no!', 'No!', 'It', 'What', 'Oh, my Bing', 'Oh.', 'Well, I', 'Chandler?', 'Chandler!', 'No!', 'No!', 'I wanna see you take', 'Uh', ""So I'm asking you please, take a moment before you judge me."", 'Oh!', 'Okay!', 'Actually, I should get going.', 'Yes!', 'Yes!', 'You did!', 'What is wrong now?', '!', 'I know!', 'I know!', 'And then you lose your apartment!', 'And then you lose your job!', 'And then your ex', 'No', 'Well yeah!', '!', 'Are you gonna be okay?', 'Okay.', 'Oh hi!', ""Well, I guess that's two out of three, Joey."", 'How are you Ms.', 'Hot Shot chef with the big fancy restaurant with the best chicken ever!', 'So, who', 'Oh.', 'Oh I just cannot believe Clark stood me up!', 'Oh, what are you, stupid?', 'It', 'I should just go on to happier things, okay?', 'Umm, why don', 'Oh', 'Chandler?', 'Well umm, I thought I was going to go back to my apartment but then I just felt I couldn', 'Please, it', 'Okay!', 'Hey you guys, umm do either one of you want to get in there before I take my bath.', 'Why not?', 'Okay, I', 'Why?', 'He does?', 'Oh', 'I', 'I mean this is so great!', 'We', 'Hi!', 'Hi sweetheart!', 'This is my husband Sid, I don', 'Oh y', 'So?', 'Congratulations you two, I didn', 'What?', '!', 'Why?!', '!', 'Oh.', 'Well then shut me up.', 'Uh', 'Chandler Bing!', 'Oh, this should be easy.', 'I have a very wide pelvis.', 'You remember Chandler.', 'It', 'He', 'Can I just say, I really admire what you', 'Oh, sure.', 'Now.', 'But what happens when he meets somebody else and gets married?', 'I', 'Oh well that', 'I hate to be the one to say it, but honey you two', 'Oh hi!', 'Say hello to Aaron, your future son', 'I', 'Bye.', 'OH MY GOD!', '!', 'Ah ahahahhahaa!', 'How great is this!', 'Well, Sid and I are trying again and we had trouble last time    because apparently we...', 'Oh!', ""Someone's a little cranky today cuz    they have to do it in a cup!"", 'Please... go!', 'Oh!', 'Sid is still in his room.', ""I don't allow porn at home so    this is like a vacation for him."", 'So did you do it?', 'Did you make your deposit?', ""That's not the hard part honey!"", ""The hard part is what comes    next, I mean aren't you worried about the results?"", 'Oh!', 'Well, you know what?', 'It probably is.', 'Oh, Chandler, look.', 'You and Monica are meant to have children.', ""I am sure it's gonna be just fine."", ""What, you can do it in the parking lot of a Taco Bell, but you    can't do it at a doctor's office?""]",292,1916
135,Minister,"['Friends.', 'Family.', 'We are gathered to celebrate here today the joyous union of Ross and Emily.', 'Take thee, Emily...', 'I think we', 'Take thee,', 'As my lawfully wedded wife, in sickness and in health, till death parts us.', 'May I have the rings?', 'Ross and Emily have made their declarations and it gives me great pleasure to declare them husband and wife.', 'You may kiss the bride.']",10,79
136,Cowgirl,[],0,0
137,Katie,"['Hi!', 'Yeah, I just gotta run to the bathroom.', 'Hey, where are we going to lunch?', 'Ohh, I', 'You were so funny with that waiter!', ""You're such a nut!"", 'No, you make them funny.', ""You're the funny one!"", 'Aww, like I could hurt you.', 'Are you making fun of my size?', ""Don't make fun of me because of my size!"", 'Oh, thanks!', ""That's so sweet!"", 'Oh, ow!', 'Did Joey tell you to say that?', 'You guys,', 'Ohh, Joey has the nicest friends!', ""You're so sweet!"", 'Oww!!!!', 'Joey, she just kicked me.', 'Well?', ""Aren't you gonna do something?"", ""You'd better do something, or I'm gonna walk out that door right now!"", 'Well?', 'Are you gonna?', 'Well, the delivery went out to you and I realized they forgot this.', 'Listen, to be honest, home deliveries are really a part of my job description.', 'Oh uh', 'Sure!', 'Are you okay with this?', 'Okay.', 'It was nice to see you.', 'Oh umm, actually I umm']",34,220
138,Gavin,"[""Oh, your baby's so cute."", 'Why did you put a pink bow on a boy?', 'Well, while you were on your baby vacation I was doing your job.', ""Clearly you've never been to Sandles Paradise Island."", ""I can't say I care too much for that smell you've brought in with you."", 'Well, there was talk of shutting down Ralph Lauren all together.', ""I'm not a temp."", 'I was transferred here from another department.', ""Oh, they didn't tell me about your quick wit."", ""Well, that's up to Mr. Zelner."", ""I'm sure he will make the right decision."", 'You said two weeks.', ""Well, I've changed your screensaver from that picture of"", ""Also, I've just been working on this big presentation for tomorrow."", ""That's gonna take weeks."", ""Why don't just let me take care of the presentation?"", 'Fine.', ""Hey, you've been here five years, you figure it out."", 'How do you fix the chair?', 'You can do the presentation.', ""I'll watch her."", ""Because you've worked really hard, and it's your job, and you're a little crazy."", 'I should tell you that crying women make me very uncomfortable.', ""I'm really fine, don't worry, I'm great with children."", 'Hello', 'For what?', 'Is this your first appology?', 'What?', ""I wasn't checking her out."", ""I'm in fashion, I was looking at her    skirt."", 'Or was it pants?', ""I didn't really see what happened below the ass area."", 'Why do you even care if I was looking at her?', 'Are you jealous?', 'I thought it was ok when you slept with your old assistant Tag.', 'Huh.', ""What's Tag's last name?"", 'But it was a deap meaningful relationship.', 'It was Jones.', ""Gavin Mitchelle's office."", 'Hey Mom!', ""No, that's just my secretary."", ""Mom, I'll call you later."", 'Yeah.', 'Thank god you finally said that, I saw you make a note on your    pad three hours ago.', 'Pleased to meet you.', ""Well I don't mind, I'll cancel."", ""I would never miss my secretary's birthday."", 'Yeah, hey.', 'Nice party.', ""Look, I'll just give you this and go."", 'Well, let me explain how birthday parties usually work.', 'There    are presents, and a cake, perhaps a fourth or fifth person.', 'Ok, I ... got you    the present to make up for being such a jerk to you earlier.', 'I really mean it.', ""You don't mind?"", ""I'm not sure."", 'I do have feelings for you.', 'Yes, I feel that you are a little annoying.']",59,516
139,Adrienne,"['Yes?', ""Oh believe me, Ross, I won't be telling""]",2,13
140,Brenda,"['Mrs. Bing, this tile cleaner is incredible!', 'Where', 'Okay.', 'Uhh, I', 'I', 'Oh thanks!', 'I like your top.', 'What happened?', '!', 'I was thinking about taking my lunch break.', 'All right.', 'What', 'Okay.', 'What?', 'I think I know what', 'Look, I know it must be hard that your wife is a lesbian, but it']",16,67
141,Nurse,"['Mrs. Geller?', 'This almost never happens!', 'Breathe, breathe, breathe...', ""It's just her water breaking."", 'Calm down, will you?', 'All right, honey, time to start pushing.', ""All right, all right, there's a few too many people in this room, and there's about to be one more, so anybody who's not an ex"", 'Out!', 'Dr. Burke will see you know.', 'Dr. Richard Burke is out of town.', 'Dr. Timothy Burke, his son, will see you now.', 'Hi.', 'Okay.', 'Have you started having contractions?', 'Well', 'Now, which of you is the father?', 'Hey!', 'Rachel.', 'Okay Rachel, are you comfortable?', 'The doctor will be here in a minute to do your sonogram.', 'Hi!', 'Just so you know, Dr. Long can', 'Right!', 'We have a semi', 'Yes, I see that here.', 'Unfortunately we can', 'I', 'This is a hospital.', 'Would you like to see a semi', 'I think I know who you', 'I', 'Dr. Drake who?', 'A doctor at this hospital?', 'He', 'I don', 'Hey!', 'Are you ready to try nursing again?', 'It', 'Why don', 'Hey, she just woke up!', 'She', 'I', 'Mr. Bing?', 'Absolutely.', ""He's under sedation, so he's pretty much out."", ""Miss Green, your father's doctor is on the phone if you'd like to speak to him."", ""We'll just get him cleaned up a bit."", ""We're going to take Erica to recovery now.""]",48,281
142,Announcer,"['From New York City, New York!', 'Appearing in his Ultimate Fighting Championship debut!', 'He', 'And his opponent, from Hunnington Beach, California!', 'He']",5,28
143,Dave,"['Yeah, me too.', 'Yeah!', 'Okay, yeah!', 'Yeah?']",4,13
144,Gene,"[""I'll take"", 'Diary.', 'Cafeteria.', 'You put this in your coffee.', ""It's white!"", ""It's heavier then milk!"", 'Pass!', 'You put this on a sandwich.', ""It's white!"", ""It's made from eggs!"", 'Pass!', 'You put this on a hamburger!', 'Yes!', 'Stop!', 'Hey!', 'I got a kid starting college.', ""I've to get surgery on my knee, you just lost me ten grand!"", ""Well, I will, because I won't be playing with you."", 'Oak, maple, elm, birch...', 'Uhm... Buenos d', 'A match, a candle...', 'A torch, a bonfire...', 'Uhm,', 'Pepperoni...', 'Cindy Crawford, Christie Brinkley, Heidi Klum, Claudia Schiffer...', 'Christie Turlington, Kate Moss...']",26,141
145,Lecturer,"['We', '....oversized bracelets, oversized earrings, oversizing of accessories in general are very popular now.']",2,18
146,Vince,"['Good deal.', 'Hey!', '98 hot saves, highest in the force.', 'Yo!', '!', 'So, what', 'Uh', 'No', 'What?', '!', 'Phoebe, Phoebe relax, it', 'You haven', 'You made him a candle light dinner in the park?', 'Uh yeah, I can']",14,49
147,Karin,"['Actually, I', 'I am']",2,5
148,Theodore,"['Phoebe, these are our friends, Tom and Sue Angle.', 'Oh... Well...', 'Oh no, not all the time...', 'I do the best I can...', 'OH!', 'OWWWWW!', 'I recently had surgery.', ""No, I'll be fine..."", 'I just should check the stitches...', 'How could you know.', ""Why wouldn't you punch me in    the stomach?"", ""I can't imagine what he sees in her."", ""You remember her Michael, she's lovely and... well    behaved and... single.""]",13,95
149,Ken,['You can come to my house!'],1,7
150,Dirk,"['Hey!', 'So what show are you on?', 'Oh!', 'Hey well listen, I play a scientist on', 'Hey, I got a 690 on my SATs.']",5,30
151,Kids,"['Trick or treat!', 'Trick or treat!', '!']",3,9
152,Jason,"[""...and I know I'll never miss doing it, but I gotta tell you, it's pretty cool knowing that you're making a difference in a kid's life."", 'Whoa!', 'Ahh', 'No, no?', 'W', 'Yeah, come on in.', 'So Phoebe, you ah, sounded kinda serious on the phone, is ah, is anything wrong?', 'I was passin', 'What?', '!', 'Yeah, and neither did we.', 'Give yourself a break.', 'Yeah.', ""I mean y'know, we haven"", 'You have?', ""Y'know Phoebe, I""]",16,102
153,Casey,"['Here you go.', 'Great!']",2,6
154,Kathy,"[""No, you didn't."", ""Hi, I'm Kathy."", 'With a K.', 'Wow!', 'You are really good at this.', ""I'm sorry, you're right, I apologize, but I should tell you that I'm waiting for a date."", 'Hi.', ""I'm sorry, it's just this Ernie Cofax thing on in a few minutes I wanted to watch."", ""You're kidding!"", 'Oh, I love him.', 'Oh please!', 'Yeah, they teamed us up as partners.', 'Joey picked three scenes for us to do', 'No, but this wonder broom is amazing!', 'Oh my God!', 'Oh, jeez.', ""No, no, it's not like that."", 'I, I work for a medical researcher.', 'Okay.', 'Hey, Chandler!', 'What are you doing here?', 'Hey!', ""Ohh, God, guys, check it out, you can see that girl's underwear!"", 'Not your type?!', ""She's gorgeous!"", 'Okay.', ""Understanding a little more why you're single."", 'Ohh!', ""Y'know, I have a friend you would like, she's really pretty."", 'And then we could double date!', ""Okay, I've got some ugly friends, and they're all available too."", 'So is Joey around?', 'I uh, don', 'Oh.', 'Oh, okay.', 'So what did you do today?', 'Well, I could cut it.', 'Yeah, I do.', 'Of course, I learned at my aunt', 'You have really great hair.', 'Yes!', 'Yeah!', 'Joey has great hair!', 'Umm, I', 'Checking to see if it', 'Looks good.', 'I forgot my purse.', 'No, I really did forget my purse.', 'Horrible!', 'No', 'No, but that', 'What?', '!', 'Can you really do that?', 'Chandler, I like Joey a lot, but with you', 'I', 'Okay.', 'Bye.', 'Umm,', 'Oh!', 'Oh!', 'Thank you!', 'Thank you!', 'Thank you!', 'Yes!', 'Thank you!', 'Hi!', 'No, you', 'If you want it to be.', 'Hey you guys!', 'Hi!', 'Wasn', 'It', 'Clearly, I', 'Okay, so let me just get this straight.', 'You', 'Acting!', 'Chandler, this is my job!', 'I', 'Oh, wow.', 'I can', 'I', 'Oh wow.', 'I really wish you', 'Yeah.', 'Hey Rachel!', 'Cute assistant!', 'What']",89,431
155,Patron,"['Oh, excuse me.', 'I believed you were saving this seat for someone.', 'For what?']",3,18
156,Secretary,['You have a Miss Monica Geller here.'],1,8
157,Zoe,"['Shut the door!', 'Shut the door!', '!']",3,9
158,Sid,['I still can'],1,3
159,Isabella,"['Aren', 'I', 'Yeah, for you.', 'Is that the list?', 'May I see it?', 'Come on!', 'It', ""Y'know it"", '...because I have a list of five goofy coffee house guys and yesterday I bumped you for that guy over there.']",9,46
160,Carl,"[""I'm just sayin', if I see one more picture of Ed Begley, Jr. in that"", 'I mean, come on, buddy, get a', 'Exactly!', ""And you just know I'm gonna be the guy caught behind this hammerhead in traffic!"", ""Heh... y'know?"", 'What?', 'But...', 'Another', 'Well, I']",9,61
161,Jester,"['Uh, may I help you?', 'Look, it', 'Nobody sees the king!', 'Hey!', 'You can']",5,19
162,Doug,"['So thanks for the warm welcome.', 'It', 'No', 'Bing!', 'There you go.', 'Oh, you forgot?', 'Well, I got tanked myself last night.', 'Pretty dicey drive home, Tapanzi Bridge never looked smaller.', 'Hmm.', 'Oh, is it the swearing?', 'I mean is it the constant swearing?', 'Because I gotta tell ya, if it is, you can just... kiss my ass!', 'Oh?', 'Well, say no more.', ""Y'know it takes guts to bring this up."", 'Bing!', 'You', 'Ha!', 'So, in conclusion, the lines all go up', 'Of course, you did.', 'Forgot something else too ya bastard!', 'Everybody else got one, and you want one too.', 'Don', 'Now get on out of here, you!', 'Hey Bing!', 'Hi!', 'And this is my wife Kara.', 'Say uh, Bing, did you hear about the new law firm we got working for us?', 'Yeah, Dewey, Cheatum, and Howe.', ""Come on honey, let's go drink our body weight."", 'Bing!', 'Well, I gotta tell ya Bing', ""We're, we're just gonna get a little sip of water."", ""Uh Bing, I think we're gonna make this the last game."", 'Nice shot.', 'But seriously, I believe that we should all support President Clinton.', 'And her husband Bill.', ""Well, maybe I'll bring it out and have Monica stick her finger in it."", 'That oughta sweeten it up, huh?', 'The joke Bing.', ""What's the matter with you?"", 'Excuse me?', 'Bing!', 'Ho!', 'And the Bing', 'Hi.', 'So good news, the divorce is final.', 'I signed the papers this A.M.', 'Sorry?', 'Finally chewed my leg out of that bear trap.', 'Hey, congratulationsrr to you guys though!', 'Oh well, give it time.', 'So the divorce, the marriage, we', 'Tomorrow night it is then, I should be out of court by six.', 'They keeprr throwing these sexual harassment cases at me and I keep knocking them out of the park!', 'Bing!', 'We', 'Oh, my ex', 'Oh?', 'Why not?', 'What', 'So why can', 'Good God Bing I', 'Bing my boy, we', 'Oh Bing, look at those twin sisters dancing together.', 'Let me buy you a laprr dance with those girls.', 'Huh?', 'Bing', 'No, it', 'Oh yeah']",70,443
163,Rick,"['Would you mind spending some time on my siadic area, it', 'Yeah.', 'Oh, a 16', 'Ow!', 'Did you just bite me?', 'Oh wow!', 'That was amazing, was that really just an hour?', '!', 'What?', 'Wow!', 'I had no idea!', 'But you know, I could always find another masseuse.', 'Yeah, really.', 'Suddenly, I very aware that I']",14,72
164,Sarah,"['So that', 'Well, I kinda wanted to sell the cookies.', 'The girl who sells the most wins a trip to Spacecamp, and gets to sit in a', 'Yeah.', 'My Dad says if I spend as much time helping him clean apartments, as I do daydreaming about outer space, he', 'No.', 'The one in Atlantic City, Dad loves the slots.', 'He says he', 'The girl who won last year sold four hundred and seventy', 'So far, I', 'Five dollars a box.', 'A ten speed bike.', 'But, I', 'Could you do me one favor, if it', 'Could you pull open the curtains for me?', 'The astronauts from the space shuttle are gonna be on the news, and since we don', 'Really Mr. Geller, you don', 'Thank you so much!', ""I'm sorry, I don't own a TV.""]",19,157
165,Aurora,"['...Yes?', 'Yes, you said that.', 'Chandler?', '...Luckily none of the bullets hit the engine block.', 'So, we made it to the border, but just barely, and I', '...All of a sudden we realised we were in Yammon.', ""'We' would be me and Rick."", 'My husband.', 'No.', ""No, I'm still married."", ""Don't worry."", ""I imagine he'd be okay with you because really, he's okay with Ethan."", 'Mmmm... Ethan is my... boyfriend.', 'I suppose mainly sexual.', 'Thank you.', 'Okay.', 'Okay.', 'Oh no, I have to.', ""It's not Rick."", ""No, it's"", ""He's... new."", ""No, that's not exactly what I was.."", 'So what do you want?', 'You have me!', 'Whaddyou mean?', '...Like, ...all of them?', ""Why can't we just have what we have now?"", ""Why can't we just talk, and laugh, and make love, without feeling obligated to one another... and up until tonight I thought that's what you wanted too."", 'So... which one of the two guys will you listen to?', 'Which one?']",30,223
